radio_id,radio_name,rssi,lqi,crc,software_version,board_serial_number,time_stamp_ms,callsign,barometer_pressure,barometer_2_pressure,press_ref,ground_elev,ground_temp,pitot_ducer_press,timestamp,run_number,gs_lat,gs_lon,gs_alt,gs_baro,gs_temp,fcb_state_number,rot_vel_x,rot_vel_y,rot_vel_z,accel_x,accel_y,accel_z,magnetic_field_x,magnetic_field_y,magnetic_field_z,angle_vertical,roll,pitch,yaw,orientation_quaternion,orientation_rpy,temperature,fcb_altitude,v_speed,fcb_latitude,fcb_longitude,gps_alt,fcb_battery_voltage,ground_speed,course_over_ground,gps_time,gps_sats,ble_client,distance,Latitude,Longitude,GPS Alt,Hdop,Fix Quality,Satellites,gps_string,pyro_continuity,pyro_status,flash_usage,line_cutter_number,line_cutter_0_state,line_cutter_0_time_stamp_ms,line_cutter_0_barometer_pressure,line_cutter_0_fcb_altitude,line_cutter_0_delta_alt,line_cutter_0_temperature,line_cutter_0_accel_z,line_cutter_0_battery_voltage,line_cutter_0_cut_1,line_cutter_0_cut_2,line_cutter_0_current_sense,line_cutter_0_photoresistor,line_cutter_0_limitVel,line_cutter_0_altitude1,line_cutter_0_altitude2,line_cutter_0_disreefDelay1,line_cutter_0_disreefDelay2,line_cutter_0_pwmVoltage1,line_cutter_0_pwmVoltage2,line_cutter_0_pwmDuration,line_cutter_0_lightThreshold,line_cutter_0_lightTriggerTime,line_cutter_0_seaLevelPressure
0,433 MHz Radio,-70 db,8,Good,0,0,604884,KM6GNL,0.973205029964447,0.9735504388809204,0.9735948443412781,0.0,14.850000381469727,212.39999389648438,2023-06-26 19:12:42.407000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2023-06-26 19:12:42.480254,1,0.0,0.0,0.0,0.9750900567480878,26.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-65 db,9,Good,0,0,605006,KM6GNL,,,,,,,2023-06-26 19:12:42.533186,1,,,,,,6,0.0,0.0,0.0,-0.0,-0.0,-0.0,88.5,0.0,0.0,90.0,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-67 db,9,Good,0,0,605006,KM6GNL,,,,,,,2023-06-26 19:12:42.593795,1,,,,,,6,,,,,,,,,,,,,,,,24.610000610351562,-1880003.375,-6078.75390625,34.127360026041664,-118.20836588541667,212.5,0.0,0.0,0.0,2023-06-26 19:12:38,12,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2023-06-26 19:12:42.599186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2023-06-26 19:12:42.678035,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.98073561166667,-91.79069488166667,255.747,0.9,RTK fixed,13,"$GPGGA,115739.00,4158.8441367,N,09147.4416929,W,4,13,0.9,255.747,M,-32.00,M,01,0000*6E
",,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-64 db,6,Good,0,0,605203,KM6GNL,,,,,,,2023-06-26 19:12:42.724714,1,,,,,,6,0.0,0.0,0.0,-0.0,-0.0,-0.0,88.5,0.0,0.0,90.0,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-63 db,9,Good,0,0,605203,KM6GNL,,,,,,,2023-06-26 19:12:42.894528,1,,,,,,6,,,,,,,,,,,,,,,,24.6299991607666,-1881188.875,-6080.6669921875,34.127360026041664,-118.20836588541667,212.5,0.0,0.0,0.0,2023-06-26 19:12:38,12,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433 MHz Radio,-41 db,9,Bad,0,0,151600357,,,,,,,,2023-06-26 19:12:42.961654,1,,,,,,9,,,,,,,,,,,,,,,,1.6495023458867976e-33,1.6495023458867976e-33,1.6495023458867976e-33,1.6495023458867976e-33,1.6495023458867976e-33,1.6495023458867976e-33,1.6495023458867976e-33,8.485765848273877e-34,1.6495023458867976e-33,1974-10-21 04:31:21,9,9,5875368.444265995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2023-06-26 19:12:42.972828,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.98073561166667,-91.79069488166667,255.747,0.9,RTK fixed,13,"$GPGGA,115739.00,4158.8441367,N,09147.4416929,W,4,13,0.9,255.747,M,-32.00,M,01,0000*6E
",,,,,,,,,,,,,,,,,,,,,,,,,,,
